Country,PercentResistant,antimicrobial_mg_per_population,prop_antibiotics_sold_without_prescription,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita
Guinea,Empty,253.9807,Empty,1.962278,12.131,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,12.131,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,12.131,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,12.131,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,12.131,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,11.127,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.2,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,10.532,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,12.131,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.25002,11.127,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.2,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,10.532,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,12.131,10.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,0.447329,11.127,10.7,58.4212,6.660235
Guinea,Empty,19.6228,Empty,1.962278,10.2,23.6,12.72029,17.96618
